#GaiaDR3-ULENS,ML,err_ML_pl,err_ML_mn,DL,err_DL_pl,err_DL_pl,transverse_vel,err_vt_pl,err_vt_mn
025-G2-,1.42,1.24,0.66,0.47,0.44,0.20,8.62,16.67,8.28
035-G+,0.95,0.32,0.34,0.59,0.20,0.12,63.96,24.50,15.70
035-G-,0.93,0.32,0.34,0.60,0.20,0.12,65.31,24.54,15.66
069-G+,4.71,2.37,1.74,1.42,0.26,0.22,78.07,22.20,17.96
069-G-,3.75,2.07,1.42,1.29,0.25,0.22,72.59,23.06,18.50
073-G+,8.04,3.87,2.56,2.03,0.49,0.34,133.95,40.51,28.62
073-G-,7.55,2.48,1.98,2.46,0.33,0.43,149.85,28.11,32.68
088-G-,5.32,2.26,1.72,1.64,0.25,0.26,90.42,21.88,20.61
155-G+,2.00,0.90,0.64,2.33,0.47,0.44,91.58,24.98,22.50
343-G+,3.55,1.63,1.29,3.55,1.28,0.93,--,--,--
343-G-,3.53,1.63,1.26,3.44,1.26,0.91,--,--,--
353-G+,6.68,3.09,2.57,0.73,0.16,0.14,--,--,--
353-G-,5.94,3.26,2.47,0.75,0.16,0.16,--,--,--
103-G+,1.91,4.86,0.86,4.81,1.31,1.34,38.07,19.06,17.99
103-G-,1.97,5.61,0.93,4.77,1.34,1.31,35.26,18.43,17.51
155-G2-,1.79,0.81,0.56,2.38,0.51,0.49,93.00,26.70,24.09
212-GSA-,1.94,1.97,0.81,8.06,0.45,1.50,305.82,37.09,67.56
331-G+,14.01,45.92,9.45,7.36,1.18,1.13,62.65,48.20,45.80
331-G-,14.72,38.14,9.71,7.45,1.17,1.16,62.04,47.97,45.96
